instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
ubo50,24,proactive_SAA_smart,60,True,275.0,0.45174574851989746,0.0008320808410644531,"[0, 3, 221, 0, 0, 191, 193, 174, 237, 10, 12, 0, 7, 235, 160, 222, 197, 41, 65, 6, 217, 208, 226, 140, 210, 102, 242, 152, 152, 156, 9, 237, 84, 235, 174, 247, 42, 130, 206, 143, 237, 26, 105, 140, 130, 154, 68, 101, 26, 267, 34, 275]","[0, 1, 1, 4, 1, 3, 3, 8, 3, 1, 11, 4, 1, 2, 7, 7, 9, 1, 1, 5, 8, 4, 9, 1, 5, 8, 8, 9, 1, 3, 1, 2, 6, 5, 5, 8, 6, 5, 1, 2, 4, 5, 5, 1, 1, 3, 8, 12, 1, 5, 4, 0]",SAA_smart,271.0
ubo50,24,proactive_SAA_smart,60,True,275.0,0.45174574851989746,0.0007729530334472656,"[0, 3, 221, 0, 0, 191, 193, 174, 237, 10, 12, 0, 7, 235, 160, 222, 197, 41, 65, 6, 217, 208, 226, 140, 210, 102, 242, 152, 152, 156, 9, 237, 84, 235, 174, 247, 42, 130, 206, 143, 237, 26, 105, 140, 130, 154, 68, 101, 26, 267, 34, 275]","[0, 1, 1, 4, 1, 3, 4, 8, 5, 1, 10, 5, 1, 2, 3, 8, 7, 1, 3, 9, 6, 4, 6, 1, 3, 5, 6, 11, 3, 3, 1, 1, 8, 6, 4, 9, 7, 8, 1, 2, 3, 5, 4, 1, 1, 6, 7, 9, 1, 6, 3, 0]",SAA_smart,261.0
ubo50,24,proactive_SAA_smart,60,True,275.0,0.45174574851989746,0.0007526874542236328,"[0, 3, 221, 0, 0, 191, 193, 174, 237, 10, 12, 0, 7, 235, 160, 222, 197, 41, 65, 6, 217, 208, 226, 140, 210, 102, 242, 152, 152, 156, 9, 237, 84, 235, 174, 247, 42, 130, 206, 143, 237, 26, 105, 140, 130, 154, 68, 101, 26, 267, 34, 275]","[0, 1, 1, 3, 2, 1, 2, 7, 2, 1, 8, 5, 2, 2, 4, 8, 9, 1, 1, 7, 6, 4, 8, 1, 2, 5, 6, 11, 3, 4, 1, 1, 7, 6, 4, 8, 6, 6, 1, 5, 3, 6, 3, 1, 1, 3, 11, 6, 1, 7, 5, 0]",SAA_smart,261.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008759498596191406,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 7, 6, 2, 2, 7, 3, 6, 3, 3, 2, 1, 7, 6, 8, 1, 6, 8, 1, 5, 6, 11, 7, 9, 2, 7, 4, 3, 1, 5, 2, 2, 4, 3, 2, 2, 3, 2, 4, 11, 3, 2, 4, 7, 12, 11, 7, 3, 7, 8, 4, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008559226989746094,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 5, 5, 6, 3, 8, 2, 11, 6, 3, 4, 1, 3, 9, 7, 2, 6, 6, 2, 3, 3, 9, 9, 8, 2, 7, 6, 3, 1, 4, 3, 3, 4, 5, 5, 2, 4, 4, 4, 6, 2, 2, 7, 4, 6, 11, 11, 6, 6, 8, 7, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008380413055419922,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 7, 2, 5, 1, 7, 2, 12, 7, 5, 5, 1, 7, 6, 6, 1, 6, 4, 2, 5, 6, 7, 6, 5, 1, 10, 7, 1, 1, 5, 3, 1, 4, 2, 4, 5, 3, 4, 8, 10, 3, 3, 4, 5, 8, 8, 6, 3, 6, 8, 4, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008220672607421875,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 5, 4, 3, 2, 8, 4, 6, 3, 3, 3, 1, 3, 6, 9, 2, 5, 8, 1, 6, 2, 9, 5, 8, 2, 8, 7, 2, 1, 4, 2, 2, 4, 5, 2, 4, 2, 2, 6, 11, 1, 3, 4, 7, 9, 11, 11, 3, 6, 8, 7, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008361339569091797,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 4, 2, 6, 3, 8, 4, 8, 3, 3, 5, 1, 3, 5, 10, 2, 6, 5, 1, 7, 5, 6, 6, 7, 1, 10, 6, 3, 2, 7, 3, 3, 6, 3, 6, 5, 4, 2, 8, 6, 1, 2, 5, 4, 8, 8, 8, 2, 6, 5, 8, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008292198181152344,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 4, 6, 6, 3, 5, 5, 9, 4, 2, 4, 1, 4, 7, 11, 1, 5, 4, 1, 5, 6, 7, 5, 5, 2, 7, 3, 1, 2, 6, 1, 3, 7, 5, 2, 2, 2, 4, 8, 11, 2, 2, 8, 5, 8, 11, 8, 6, 7, 8, 8, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008237361907958984,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 4, 5, 4, 1, 7, 2, 8, 6, 2, 3, 1, 5, 6, 9, 1, 4, 5, 1, 4, 5, 9, 6, 7, 2, 6, 5, 1, 1, 4, 3, 3, 7, 5, 6, 5, 5, 5, 4, 11, 3, 2, 8, 6, 8, 10, 7, 4, 5, 5, 5, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0010039806365966797,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 4, 6, 6, 3, 6, 5, 7, 7, 2, 2, 1, 6, 7, 10, 2, 7, 5, 2, 5, 6, 11, 5, 8, 1, 10, 5, 2, 2, 5, 1, 1, 3, 4, 3, 4, 5, 4, 4, 7, 1, 2, 6, 6, 10, 9, 8, 4, 6, 4, 6, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,108.0,0.12404894828796387,0.0008411407470703125,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 4, 6, 3, 2, 4, 4, 9, 3, 4, 2, 1, 6, 8, 9, 1, 7, 5, 3, 5, 2, 7, 9, 7, 2, 10, 7, 3, 1, 5, 3, 3, 3, 5, 5, 3, 5, 4, 4, 6, 1, 1, 6, 8, 6, 10, 7, 4, 5, 6, 8, 0]",SAA_smart,108.0
ubo50,25,proactive_SAA_smart,60,True,109.0,0.12404894828796387,0.0008177757263183594,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 32, 46, 8, 35, 12, 14, 33, 97, 16, 39, 20, 81, 25, 70, 3, 10, 58, 29, 44, 23, 26, 57, 5, 55, 22, 15, 81, 66, 27, 17, 3, 22, 58, 17, 31, 30, 12, 101, 27, 41, 108]","[0, 5, 5, 3, 2, 5, 4, 12, 7, 3, 2, 1, 5, 6, 8, 1, 4, 7, 1, 4, 2, 10, 5, 8, 1, 10, 6, 3, 1, 6, 1, 1, 3, 3, 6, 4, 4, 2, 6, 9, 2, 1, 4, 8, 9, 10, 9, 5, 8, 4, 7, 0]",SAA_smart,109.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0009438991546630859,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 8, 8, 6, 3, 7, 3, 1, 1, 4, 2, 1, 7, 12, 2, 7, 10, 1, 6, 8, 9, 9, 3, 1, 6, 4, 1, 2, 7, 6, 3, 3, 11, 6, 7, 3, 1, 7, 6, 5, 3, 1, 5, 1, 1, 8, 6, 1, 5, 1, 3, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008380413055419922,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 6, 5, 9, 6, 4, 4, 1, 1, 7, 1, 3, 7, 6, 2, 8, 7, 1, 4, 8, 7, 7, 3, 1, 3, 2, 3, 2, 9, 11, 6, 5, 11, 6, 9, 3, 1, 8, 8, 6, 5, 1, 5, 1, 1, 10, 7, 1, 2, 1, 5, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008690357208251953,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 6, 5, 11, 5, 4, 3, 1, 1, 8, 2, 3, 5, 10, 2, 8, 11, 1, 7, 8, 9, 9, 3, 1, 6, 6, 2, 1, 10, 8, 2, 4, 10, 6, 7, 3, 3, 10, 10, 5, 2, 1, 3, 1, 1, 10, 6, 1, 4, 2, 3, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008039474487304688,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 7, 8, 10, 4, 6, 3, 1, 1, 5, 3, 3, 5, 6, 3, 6, 8, 1, 4, 5, 8, 6, 2, 1, 6, 4, 1, 2, 6, 7, 2, 3, 9, 6, 7, 7, 1, 9, 12, 5, 5, 1, 2, 1, 1, 9, 6, 1, 6, 2, 2, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008687973022460938,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 5, 7, 7, 3, 4, 3, 1, 1, 8, 3, 2, 6, 10, 3, 5, 11, 2, 7, 7, 11, 6, 3, 1, 6, 5, 1, 3, 6, 11, 6, 4, 10, 7, 6, 6, 1, 6, 10, 7, 5, 1, 3, 1, 1, 6, 9, 2, 2, 2, 4, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0009472370147705078,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 9, 8, 9, 5, 7, 6, 1, 1, 6, 3, 2, 7, 9, 3, 9, 10, 1, 7, 7, 6, 8, 2, 1, 3, 2, 3, 3, 8, 6, 4, 3, 10, 5, 10, 7, 3, 7, 9, 6, 2, 1, 3, 1, 1, 8, 6, 1, 2, 1, 4, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008692741394042969,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 9, 5, 6, 2, 7, 4, 1, 1, 4, 1, 3, 6, 10, 3, 9, 9, 1, 4, 4, 12, 9, 3, 1, 3, 6, 2, 3, 11, 8, 6, 5, 12, 9, 10, 3, 3, 10, 11, 8, 2, 1, 4, 1, 1, 9, 5, 2, 4, 2, 5, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008480548858642578,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 7, 4, 11, 3, 8, 4, 1, 1, 7, 2, 3, 3, 8, 1, 5, 8, 1, 7, 8, 12, 8, 1, 1, 6, 4, 3, 1, 7, 8, 3, 3, 7, 5, 11, 7, 1, 8, 8, 8, 3, 1, 6, 1, 1, 6, 5, 1, 5, 1, 2, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008330345153808594,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 6, 7, 7, 3, 6, 7, 1, 1, 4, 1, 1, 5, 9, 2, 6, 7, 1, 8, 4, 8, 6, 3, 1, 5, 2, 2, 1, 11, 8, 4, 6, 12, 8, 8, 5, 3, 6, 11, 7, 5, 1, 2, 1, 1, 10, 6, 2, 2, 1, 5, 0]",SAA_smart,129.0
ubo50,26,proactive_SAA_smart,60,True,129.0,0.13064908981323242,0.0008461475372314453,"[0, 0, 0, 0, 0, 6, 8, 0, 82, 85, 17, 20, 110, 52, 82, 89, 46, 98, 98, 103, 55, 19, 21, 12, 43, 27, 82, 18, 15, 18, 91, 68, 7, 8, 24, 3, 96, 28, 29, 35, 3, 10, 31, 25, 39, 87, 37, 59, 55, 127, 84, 129]","[0, 5, 8, 9, 5, 7, 3, 1, 1, 7, 2, 3, 5, 6, 3, 6, 10, 1, 7, 8, 11, 9, 3, 1, 4, 3, 3, 3, 11, 6, 5, 5, 8, 5, 6, 3, 1, 8, 10, 5, 5, 1, 6, 1, 1, 7, 7, 2, 4, 1, 3, 0]",SAA_smart,129.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.000797271728515625,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 2, 5, 6, 4, 4, 5, 4, 3, 1, 1, 2, 1, 8, 11, 9, 3, 4, 5, 8, 4, 1, 5, 2, 6, 9, 6, 7, 1, 5, 7, 2, 7, 6, 1, 1, 1, 4, 11, 4, 6, 6, 6, 1, 7, 1, 3, 2, 1, 1, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.000782012939453125,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 2, 5, 4, 5, 3, 4, 7, 4, 1, 1, 2, 1, 7, 10, 5, 2, 6, 7, 6, 2, 1, 3, 3, 6, 6, 6, 3, 1, 7, 4, 3, 8, 7, 1, 1, 1, 2, 12, 4, 8, 9, 8, 2, 4, 1, 5, 2, 1, 1, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.000949859619140625,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 3, 4, 3, 7, 7, 4, 4, 3, 1, 1, 2, 1, 5, 11, 8, 1, 3, 7, 6, 2, 1, 6, 3, 6, 5, 7, 7, 1, 6, 7, 3, 10, 11, 1, 1, 1, 2, 7, 3, 9, 7, 5, 2, 5, 1, 6, 3, 1, 2, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.0008020401000976562,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 2, 2, 4, 8, 7, 2, 8, 4, 1, 1, 3, 1, 8, 7, 5, 3, 6, 4, 6, 2, 1, 7, 5, 5, 7, 4, 4, 1, 5, 5, 1, 12, 11, 1, 1, 1, 3, 8, 7, 5, 6, 7, 2, 7, 1, 4, 2, 1, 2, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.0007658004760742188,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 2, 2, 3, 4, 4, 5, 5, 4, 1, 1, 3, 1, 8, 10, 8, 3, 3, 6, 4, 5, 1, 4, 4, 7, 5, 4, 6, 1, 4, 4, 2, 6, 11, 1, 1, 1, 5, 6, 7, 7, 8, 9, 3, 3, 1, 5, 5, 1, 2, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.0007898807525634766,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 2, 3, 4, 8, 6, 2, 4, 7, 1, 1, 3, 1, 8, 8, 5, 2, 6, 3, 4, 2, 1, 5, 5, 4, 5, 8, 6, 1, 3, 4, 3, 10, 10, 1, 1, 1, 5, 12, 6, 8, 8, 8, 3, 6, 1, 5, 6, 1, 2, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.0007529258728027344,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 3, 2, 6, 4, 6, 5, 4, 6, 1, 1, 2, 1, 5, 6, 7, 3, 5, 3, 6, 4, 1, 4, 2, 3, 9, 8, 4, 1, 6, 4, 1, 12, 7, 1, 1, 1, 4, 11, 4, 5, 5, 7, 3, 7, 1, 3, 2, 1, 1, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.0007679462432861328,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 1, 5, 3, 4, 7, 5, 6, 6, 1, 1, 1, 1, 8, 9, 5, 1, 3, 7, 5, 3, 1, 7, 3, 5, 7, 8, 6, 1, 7, 7, 1, 9, 8, 1, 1, 1, 2, 11, 6, 9, 7, 8, 1, 5, 1, 3, 5, 1, 1, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.0008060932159423828,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 1, 3, 3, 8, 4, 5, 7, 4, 1, 1, 3, 1, 4, 8, 9, 3, 3, 5, 8, 5, 1, 7, 5, 6, 5, 8, 5, 1, 5, 7, 2, 8, 11, 1, 1, 1, 3, 7, 4, 5, 9, 9, 3, 5, 1, 5, 3, 1, 1, 0]",SAA_smart,85.0
ubo50,27,proactive_SAA_smart,60,True,85.0,0.2721893787384033,0.0007550716400146484,"[0, 9, 0, 4, 0, 11, 0, 4, 19, 3, 77, 56, 77, 10, 23, 57, 12, 69, 45, 3, 47, 34, 3, 40, 59, 56, 71, 59, 34, 0, 25, 7, 50, 59, 46, 65, 26, 18, 21, 10, 52, 3, 18, 68, 23, 13, 84, 9, 79, 26, 3, 85]","[0, 1, 1, 2, 5, 6, 7, 3, 7, 4, 1, 1, 2, 1, 6, 11, 9, 2, 3, 6, 4, 2, 1, 5, 5, 4, 6, 8, 7, 1, 3, 5, 2, 12, 9, 1, 1, 1, 4, 6, 4, 5, 7, 7, 1, 6, 1, 4, 4, 1, 1, 0]",SAA_smart,85.0
ubo50,28,proactive_SAA_smart,60,True,181.0,0.9617149829864502,0.0008690357208251953,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 2, 9, 10, 4, 5, 7, 8, 3, 4, 2, 2, 9, 2, 1, 7, 7, 8, 7, 4, 7, 1, 5, 10, 8, 9, 4, 1, 1, 3, 2, 3, 12, 5, 4, 2, 11, 12, 2, 4, 3, 1, 7, 1, 1, 2, 5, 2, 4, 2, 3, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,60,True,181.0,0.9617149829864502,0.0008172988891601562,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 1, 9, 11, 5, 3, 9, 9, 2, 5, 5, 1, 7, 1, 1, 3, 11, 9, 4, 4, 5, 1, 3, 8, 8, 6, 2, 1, 3, 3, 2, 7, 9, 5, 6, 1, 6, 6, 3, 5, 4, 2, 9, 1, 1, 4, 2, 1, 3, 2, 6, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,60,True,181.0,0.9617149829864502,0.0009510517120361328,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 1, 6, 11, 8, 3, 8, 9, 5, 7, 5, 2, 5, 2, 1, 7, 9, 10, 7, 5, 9, 2, 2, 10, 8, 5, 4, 1, 1, 3, 2, 4, 6, 6, 7, 1, 6, 10, 2, 7, 4, 1, 8, 1, 2, 3, 4, 1, 6, 3, 5, 0]",SAA_smart,181.0
ubo50,28,proactive_SAA_smart,60,True,181.0,0.9617149829864502,0.0008089542388916016,"[0, 0, 0, 10, 0, 0, 18, 0, 0, 156, 64, 14, 21, 61, 42, 22, 28, 17, 103, 37, 64, 45, 8, 10, 43, 9, 50, 40, 44, 100, 8, 49, 141, 48, 127, 123, 52, 29, 31, 55, 121, 41, 75, 64, 123, 40, 41, 55, 127, 49, 175, 181]","[0, 1, 6, 7, 6, 4, 8, 5, 4, 5, 4, 1, 5, 1, 1, 4, 8, 7, 7, 4, 5, 2, 2, 7, 11, 5, 3, 1, 2, 3, 1, 7, 10, 7, 3, 2, 6, 9, 2, 5, 7, 2, 6, 1, 2, 2, 5, 2, 3, 2, 3, 0]",SAA_smart,181.0
